Validator,PT_VERSION,2.11.0
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100201-5b515cf1bc
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,5.2.0.5b515cf1bc
GemmTunableOp_BFloat16_TN,tn_16384_816_2048_ld_2048_2048_16384,Gemm_Rocblas_-621290209,0.129075
GemmAndBiasTunableOp_BFloat16_TN,tn_4304_256_1152_ld_1152_1152_4304,Default,0.0167133
GemmTunableOp_BFloat16_TN,tn_4304_256_1152_ld_1152_1152_4304,Gemm_Rocblas_-621295647,0.0151594
GemmTunableOp_tf32_NN,nn_816_128_1_ld_0_1_816,Gemm_Hipblaslt_422629,0.00729396
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_256_1152_ld_1152_1152_1152,Default,0.0116612
GemmTunableOp_BFloat16_TN,tn_1152_256_1152_ld_1152_1152_1152,Gemm_Rocblas_-621289811,0.00901199
GemmAndBiasTunableOp_BFloat16_TN,tn_1152_256_4304_ld_4304_4352_1152,Default,0.0183302
GemmTunableOp_BFloat16_TN,tn_1152_256_4304_ld_4304_4352_1152,Default,0.0186562
GemmAndBiasTunableOp_BFloat16_TN,tn_2048_256_1152_ld_1152_1152_2048,Default,0.0136751
GemmTunableOp_BFloat16_TN,tn_2048_256_1152_ld_1152_1152_2048,Gemm_Rocblas_-621289875,0.011104
GemmTunableOp_BFloat16_TN,tn_2048_816_2048_ld_2048_2048_2048,Default,0.0293673
GemmTunableOp_BFloat16_TN,tn_256_816_2048_ld_2048_2048_256,Gemm_Rocblas_-621295712,0.00947827
GemmStridedBatchedTunableOp_BFloat16_TN,tn_816_816_256_B_8_ld_256_256_816,Gemm_Rocblas_-621296228,0.0158562
GemmStridedBatchedTunableOp_BFloat16_NN,nn_256_816_816_B_8_ld_256_816_256,Gemm_Rocblas_-621295451,0.015822
GemmTunableOp_BFloat16_TN,tn_2048_816_16384_ld_16384_16384_2048,Default,0.128217
GemmAndBiasTunableOp_tf32_TN,tn_32_50_1024_ld_1024_1024_32,Gemm_Hipblaslt_387124,0.0108157
GemmAndBiasTunableOp_tf32_TN,tn_32_52_1024_ld_1024_1024_32,Default,0.00862306
GemmTunableOp_BFloat16_TN,tn_1024_51_4096_ld_4096_4096_1024,Gemm_Rocblas_-621295623,0.0101418
GemmTunableOp_BFloat16_TN,tn_1024_56_4096_ld_4096_4096_1024,Gemm_Rocblas_-621295541,0.00997944
GemmTunableOp_BFloat16_TN,tn_4096_51_1024_ld_1024_1024_4096,Gemm_Rocblas_-621295632,0.00840373
GemmTunableOp_BFloat16_TN,tn_4096_56_1024_ld_1024_1024_4096,Gemm_Rocblas_-621289720,0.00844262
GemmTunableOp_BFloat16_TN,tn_1024_51_2048_ld_2048_2048_1024,Gemm_Rocblas_-621295623,0.00772349
GemmTunableOp_BFloat16_TN,tn_1024_56_2048_ld_2048_2048_1024,Gemm_Rocblas_-621295510,0.0100047
GemmStridedBatchedTunableOp_BFloat16_NN,nn_256_51_867_B_8_ld_256_867_256,Gemm_Rocblas_-621295416,0.00866403
GemmStridedBatchedTunableOp_BFloat16_NN,nn_256_56_872_B_8_ld_256_872_256,Gemm_Rocblas_-621287427,0.00861541
GemmStridedBatchedTunableOp_BFloat16_TN,tn_867_51_256_B_8_ld_256_2048_867,Gemm_Rocblas_-621289815,0.00713324
GemmStridedBatchedTunableOp_BFloat16_NN,nn_872_56_256_B_8_ld_872_256_872,Gemm_Rocblas_-621295421,0.0126752
GemmTunableOp_BFloat16_TN,tn_256_51_1024_ld_1024_1024_256,Gemm_Rocblas_-621289870,0.0105431
GemmTunableOp_BFloat16_TN,tn_256_56_1024_ld_1024_1024_256,Default,0.00827985
GemmTunableOp_BFloat16_TN,tn_2048_51_1024_ld_1024_1024_2048,Gemm_Rocblas_-621289854,0.00703931
GemmTunableOp_BFloat16_TN,tn_2048_56_1024_ld_1024_1024_2048,Gemm_Rocblas_-621295544,0.00720814
GemmAndBiasTunableOp_tf32_TN,tn_1024_50_1024_ld_1024_1024_1024,Gemm_Hipblaslt_387127,0.00994209
GemmAndBiasTunableOp_tf32_TN,tn_1024_52_1024_ld_1024_1024_1024,Default,0.00917229
GemmAndBiasTunableOp_tf32_TN,tn_1024_50_2048_ld_2048_2048_1024,Gemm_Hipblaslt_386955,0.0108574
GemmAndBiasTunableOp_tf32_TN,tn_1024_52_2048_ld_2048_2048_1024,Default,0.0110367
GemmAndBiasTunableOp_tf32_TN,tn_1024_50_32_ld_32_32_1024,Gemm_Hipblaslt_386826,0.00808625
GemmAndBiasTunableOp_tf32_TN,tn_1024_52_32_ld_32_32_1024,Gemm_Hipblaslt_386850,0.0075557
GemmTunableOp_tf32_TN,tn_1024_50_2048_ld_2048_2048_1024,Gemm_Hipblaslt_386952,0.0106466
GemmTunableOp_tf32_TN,tn_32_50_1024_ld_1024_1024_32,Gemm_Hipblaslt_386955,0.00972322
GemmTunableOp_tf32_TN,tn_1024_50_1024_ld_1024_1024_1024,Gemm_Hipblaslt_386952,0.00952795
GemmTunableOp_tf32_NN,nn_51_128_1_ld_0_1_51,Gemm_Hipblaslt_384416,0.0148443
GemmAndBiasTunableOp_tf32_TN,tn_1024_1_32_ld_32_32_1024,Gemm_Hipblaslt_386826,0.0102092
GemmTunableOp_tf32_TN,tn_1024_1_32_ld_32_32_1024,Default,0.00873852
GemmTunableOp_tf32_TN,tn_1024_50_32_ld_32_32_1024,Gemm_Hipblaslt_386850,0.00839047
GemmStridedBatchedTunableOp_BFloat16_TN,tn_867_51_256_B_8_ld_256_256_867,Gemm_Rocblas_-621289931,0.00714282
